Team,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS,Column1
India,25,15,7,2,1,2.142,31.3,9.34,24,235,-,
New Zealand,28,12,12,2,2,1,22.45,8.34,28,226,66,
Australia,14,9,5,0,0,1.8,33.69,10.11,14,241,174,
West Indies,16,9,7,0,0,1.285,27.53,9.8,16,258,192,
Bangladesh,13,8,4,0,1,2,22.76,7.67,12,203,110,
Afghanistan,14,5,7,1,1,0.714,20.44,7.48,14,212,115,
Sri Lanka,13,5,7,1,0,0.714,23.7,8.77,13,206,108,
England,12,4,8,0,0,0.5,25.26,8.73,12,267,117,
Pakistan,15,4,10,0,1,0.4,20.75,8.13,14,193,115,
South Africa,8,2,6,0,0,0.333,22.38,9.93,8,259,95,
